XList	RList	Discon	LRef	SRef	MachList	AltList	X_Seg	ALPHA
20.90	1						21.0	
21.0	1						21.10	
21.10	1						21.2	
21.2	1						21.3	
21.3	1						21.4	
21.4	1						21.50	
21.50	1						21.6	
21.6	1						21.7	
21.7	1						21.8	
21.8	1						21.90	
21.90	1						22.0	
22.0	1						22.1	
22.1	1						22.2	
22.2	1						22.30	
22.30	1						22.4	
22.4	1						22.5	
22.5	1						22.6	
22.6	1						22.70	
22.70	1						22.8	
22.8	1						22.9	
22.9	1						23.0	
23.0	1						23.10	
23.10	1.0265						23.2	
23.2	1.0535						23.3	
23.3	1.08						23.4	
23.4	1.1065						23.50	
23.50	1.1335						23.6	
23.6	1.16						23.7	
23.7	1.1865						23.8	
23.8	1.2135						23.90	
23.90	1.24						24.0	
24.0	1.2665						24.1	
24.1	1.2935						24.2	
24.2	1.32						24.30	
24.30	1.3465						24.4	
24.4	1.3735						24.5	
24.5	1.35						24.6	
24.6	1.35						24.70	
24.7	1.35						24.8	
24.8	1.35						24.9	
24.9	1.35						25.0	
25.0	1.35						25.10	
25.1	1.35						25.2	
25.2	1.35						25.3	
25.3	1.35						25.4	
25.4	1.35						25.50	
25.5	1.35						25.6	
25.6	1.35						25.7	
25.7	1.35						25.8	
25.8	1.35						25.90	
25.9	1.35						26.00	
26.0	1.35						26.1	
26.1	1.35						26.2	
26.2	1.35						26.3	
26.3	1.35						26.40	
26.4	1.35						26.5	
26.5	1.35						26.6	
26.6	1.35						26.7	
26.7	1.35						26.80	
26.8	1.35						26.9	
26.9	1.35						27.0	
27.0	1.35						27.1	
27.1	1.35						27.20	
27.2	1.35						27.3	
27.3	1.35						27.4	
27.4	1.35						27.5	
27.5	1.35						27.60	
27.6	1.35						27.7	
27.7	1.35						27.8	
27.8	1.35						27.9	
27.9	1.35						28.00	
28.0	1.35						28.1	
28.1	1.35						28.2	
28.2	1.35							
